id,pack_id,text_es,text_en,sort_order
1,starter,1 flujo de automatización completo,1 complete automation workflow,0
2,starter,Integración con herramientas existentes,Integration with existing tools,1
3,starter,Dashboard básico de seguimiento,Basic tracking dashboard,2
4,starter,Capacitación del equipo (2h),Team training (2h),3
5,starter,1 mes de soporte post-implementación,1 month post-implementation support,4
6,growth,3 flujos de automatización con IA,3 AI automation workflows,0
7,growth,Chatbot WhatsApp Business,WhatsApp Business Chatbot,1
8,growth,Dashboard BI en tiempo real,Real-time BI Dashboard,2
9,growth,Análisis de datos y reportes ejecutivos,Data analysis and executive reports,3
10,growth,Capacitación del equipo (8h),Team training (8h),4
11,growth,3 meses de soporte,3 months support,5
12,enterprise,Automatización de todos los departamentos,All department automation,0
13,enterprise,Suite completa de BI y analytics,Complete BI and analytics suite,1
14,enterprise,IA generativa personalizada,Custom generative AI,2
15,enterprise,Arquitectura de datos escalable,Scalable data architecture,3
16,enterprise,Capacitación completa del equipo,Complete team training,4
17,enterprise,12 meses de soporte prioritario,12 months priority support,5
