"slug","file","title_es","title_en","excerpt_es","excerpt_en","date","category","tags","featured","read_time","author"
"optimizar-queries-mercadolibre","2026-02-01-optimizar-queries-mercadolibre.md","Cómo optimizamos queries en MercadoLibre: De 2min a 5seg","How we optimized queries at MercadoLibre: From 2min to 5sec","Técnicas reales que usamos para reducir costos en BigQuery y mejorar la experiencia de usuario. Caso práctico de optimización SQL.","Real techniques to reduce BigQuery costs and improve user experience. Practical SQL optimization case.","2026-02-01","data-engineering","sql, performance, bigquery",true,"8 min","Mariano Gobea Alcoba"
"python-automatizar-impuestos-argentina","2026-02-08-python-automatizar-impuestos-argentina.md","Python para automatizar tu Declaración de Ganancias","Python to automate your Income Tax Declaration","Guía práctica para automatizar cálculos fiscales con Python. Incluye código reutilizable y ejemplos del mundo real.","Practical guide to automate tax calculations with Python. Includes reusable code and real-world examples.","2026-02-08","python","python, automation, tax",true,"10 min","Mariano Gobea Alcoba"
"errores-comunes-data-pipelines","2026-02-15-errores-comunes-data-pipelines.md","5 errores comunes en pipelines de datos (y cómo evitarlos)","5 common mistakes in data pipelines (and how to avoid them)","Lecciones aprendidas construyendo pipelines a escala en MercadoLibre. Evita estos errores y ahorra tiempo y dinero.","Lessons learned building pipelines at scale at MercadoLibre. Avoid these mistakes and save time and money.","2026-02-15","data-engineering","data-pipeline, best-practices",false,"12 min","Mariano Gobea Alcoba"
"negociacion-salarial-it-argentina-2026","2026-02-22-negociacion-salarial-it-argentina-2026.md","Calculá tu sueldo IT correcto: Guía para entrevistas 2026","Calculate your correct IT salary: Interview guide 2026","Herramientas prácticas y estrategias para negociar tu sueldo en el sector tecnológico argentino. Incluye simulador.","Practical tools and strategies to negotiate your salary in Argentina's tech sector. Includes simulator.","2026-02-22","business-intelligence","salary, negotiation, career",true,"7 min","Mariano Gobea Alcoba"
"bigquery-costos-optimizacion","2026-03-01-bigquery-costos-optimizacion.md","BigQuery: Cómo reduje costos en 70% con estas 7 técnicas","BigQuery: How I reduced costs by 70% with these 7 techniques","Estrategias probadas en MercadoLibre para reducir costos masivos en BigQuery. Desde particionamiento hasta clustering.","Proven strategies at MercadoLibre to reduce massive BigQuery costs. From partitioning to clustering.","2026-03-01","data-engineering","bigquery, gcp, costs",true,"10 min","Mariano Gobea Alcoba"
"genai-produccion-checklist","2026-03-08-genai-produccion-checklist.md","GenAI en Producción: Checklist de 15 puntos antes de deploy","GenAI in Production: 15-point checklist before deployment","No lleves tu modelo de IA a producción sin revisar esto. Lecciones de proyectos reales.","Don't take your AI model to production without checking this. Lessons from real projects.","2026-03-08","automation","genai, llm, production",true,"12 min","Mariano Gobea Alcoba"
"airflow-vs-prefect-2026","2026-03-15-airflow-vs-prefect-2026.md","Airflow vs Prefect en 2026: ¿Cuál elegir?","Airflow vs Prefect in 2026: Which to choose?","Comparativa práctica basada en experiencia real. Pros, contras y cuándo usar cada herramienta.","Practical comparison based on real experience. Pros, cons and when to use each tool.","2026-03-15","data-engineering","airflow, prefect, orchestration",true,"11 min","Mariano Gobea Alcoba"
"python-async-data-pipelines","2026-03-22-python-async-data-pipelines.md","Python Async para Data Pipelines: De 2 horas a 15 minutos","Python Async for Data Pipelines: From 2 hours to 15 minutes","Cómo usar asyncio y aiohttp para paralelizar fetches de APIs y acelerar pipelines dramáticamente.","How to use asyncio and aiohttp to parallelize API fetches and dramatically speed up pipelines.","2026-03-22","python","python, async, performance",true,"9 min","Mariano Gobea Alcoba"
"vector-databases-guia-practica","2026-03-29-vector-databases-guia-practica.md","Vector Databases: Guía práctica para RAG en producción","Vector Databases: Practical guide for RAG in production","Todo sobre vector databases para implementar RAG. Pinecone vs Weaviate vs Milvus.","Everything about vector databases to implement RAG. Pinecone vs Weaviate vs Milvus.","2026-03-29","automation","vector-db, rag, embeddings",true,"13 min","Mariano Gobea Alcoba"
"dbt-analytics-engineering","2026-04-05-dbt-analytics-engineering.md","dbt: La herramienta que cambió el Analytics Engineering","dbt: The tool that changed Analytics Engineering","Por qué dbt se convirtió en el estándar de la industria y cómo empezar a usarlo.","Why dbt became the industry standard and how to start using it.","2026-04-05","data-engineering","dbt, analytics-engineering, sql",false,"10 min","Mariano Gobea Alcoba"
"langchain-vs-llamaindex","2026-04-12-langchain-vs-llamaindex.md","LangChain vs LlamaIndex: ¿Cuál usar para tu app de GenAI?","LangChain vs LlamaIndex: Which one for your GenAI app?","Comparativa práctica de los dos frameworks más populares para aplicaciones GenAI.","Practical comparison of the two most popular frameworks for GenAI applications.","2026-04-12","automation","langchain, llamaindex, genai",true,"11 min","Mariano Gobea Alcoba"
"pandas-vs-polars-performance","2026-04-19-pandas-vs-polars-performance.md","Pandas vs Polars: Benchmark real con 100M filas","Pandas vs Polars: Real benchmark with 100M rows","¿Vale la pena migrar de Pandas a Polars? Test con datos reales. Spoiler: Polars es 10-20x más rápido.","Is it worth migrating from Pandas to Polars? Test with real data. Spoiler: Polars is 10-20x faster.","2026-04-19","python","pandas, polars, performance",false,"9 min","Mariano Gobea Alcoba"
"streamlit-dashboards-rapidos","2026-04-26-streamlit-dashboards-rapidos.md","Streamlit: De idea a dashboard en 30 minutos","Streamlit: From idea to dashboard in 30 minutes","Cómo construir dashboards interactivos profesionales sin saber frontend.","How to build professional interactive dashboards without knowing frontend.","2026-04-26","python","streamlit, dashboards, visualization",false,"8 min","Mariano Gobea Alcoba"
"kafka-basics-data-engineers","2026-05-03-kafka-basics-data-engineers.md","Kafka para Data Engineers: Lo esencial en 10 minutos","Kafka for Data Engineers: The essentials in 10 minutes","Todo lo que un data engineer necesita saber sobre Kafka sin el ruido.","Everything a data engineer needs to know about Kafka without the noise.","2026-05-03","data-engineering","kafka, streaming, real-time",false,"10 min","Mariano Gobea Alcoba"
"chatgpt-api-trucos-avanzados","2026-05-10-chatgpt-api-trucos-avanzados.md","10 trucos avanzados de ChatGPT API que nadie te cuenta","10 advanced ChatGPT API tricks no one tells you about","Técnicas poco conocidas para sacar más provecho de la API de ChatGPT.","Little-known techniques to get more out of the ChatGPT API.","2026-05-10","automation","chatgpt, openai, api",true,"11 min","Mariano Gobea Alcoba"
"docker-data-engineers","2026-05-17-docker-data-engineers.md","Docker para Data Engineers: Lo que realmente necesitás saber","Docker for Data Engineers: What you really need to know","Docker sin el fluff. Comandos esenciales, best practices y cómo dockerizar tus pipelines.","Docker without the fluff. Essential commands, best practices and how to dockerize your pipelines.","2026-05-17","data-engineering","docker, containers, devops",false,"9 min","Mariano Gobea Alcoba"
"sql-window-functions-guia","2026-05-24-sql-window-functions-guia.md","SQL Window Functions: La guía definitiva con ejemplos reales","SQL Window Functions: The definitive guide with real examples","Window functions son la feature más poderosa de SQL que muchos no usan.","Window functions are SQL's most powerful feature that many don't use.","2026-05-24","data-engineering","sql, window-functions, analytics",true,"12 min","Mariano Gobea Alcoba"
"prompt-engineering-productividad","2026-05-31-prompt-engineering-productividad.md","Prompt Engineering para Productividad: 15 prompts diarios","Prompt Engineering for Productivity: 15 daily prompts","Los prompts que me hacen 3x más productivo como Technical Leader.","The prompts that make me 3x more productive as a Technical Leader.","2026-05-31","automation","prompts, genai, productivity",true,"10 min","Mariano Gobea Alcoba"
"data-quality-great-expectations","2026-06-07-data-quality-great-expectations.md","Data Quality con Great Expectations: No más data corrupta","Data Quality with Great Expectations: No more corrupt data","Cómo implementar data quality checks que atrapan problemas antes de producción.","How to implement data quality checks that catch problems before production.","2026-06-07","data-engineering","data-quality, testing, validation",false,"11 min","Mariano Gobea Alcoba"
"automatizar-reportes-python","2026-06-14-automatizar-reportes-python.md","Cómo automaticé 40 horas mensuales de reportes con Python","How I automated 40 monthly hours of reports with Python","De Excel manual a reportes automatizados en PDF y Email. El proceso completo.","From manual Excel to automated PDF and Email reports. The complete process.","2026-06-14","automation","python, automation, reports",true,"13 min","Mariano Gobea Alcoba"
